review_score,review_text,clean_text
5.0,"In FROM POTTERS FIELD, Temple Gault is back and he's at his worst (which is great news for the reader!). This psychopath is Kay Scarpetta's nemesis and New York is his home turf, which puts her at a definite disadvantage. Gault leaves special clues knowing Scarpetta will know it's his calling card and lure her closer to his trap for her. She knows she's in his web and he's drawing her ever closer but she is not able to stay away, for doing so would keep him free to increase his fatality rate.This has to be my favorite Patricia Cornwell book. I loved the game of cat and mouse that Gault plays with Scarpetta. I loved the way Scarpetta plays the game determined to win no matter what Gault tries to throw at her. And I especially loved the gift of the scalpel and the chase through the subway tunnels all over New York City (I can't say anymore without giving away too much!).This book is constant action with no slowing down so the reader can catch his/her breath. It's almost as if the same cat and mouse game being played between Scarpetta and Gault is being copied between Cornwell and the reader. I found myself ""reading just one more chapter"" so I could figure it all out and Cornwell keeping those answers just a few pages out of my reach. Oh sure, she'd dangle a carrot to tease me, a little morsel to keep me going, but kept me chasing the answers until the end!If you want a book that will help you relax before you go to bed or a book that will leave you with a feeling that all is wonderful in the world, pick up a book of poetry because this is definitely not the book for you. If you don't mind losing some sleep and want to be catapulted on a journey that is unforgettable, then pick up a copy of FROM POTTERS FIELD today! This story is the definition of a ""thriller"". Definitely a ""stop light book"" in my opinion. (If you would like know what I mean by a stop light book, please see my review on Ugly Duckling by Iris Johansen.)",potter field temple gault back he worst great news reader psychopath kay scarpettas nemesis new york home turf put definite disadvantage gault leaf special clue knowing scarpetta know calling card lure closer trap know shes web he drawing ever closer able stay away would keep free increase fatality ratethis favorite patricia cornwell book loved game cat mouse gault play scarpetta loved way scarpetta play game determined win matter gault try throw especially loved gift scalpel chase subway tunnel new york city cant say anymore without giving away muchthis book constant action slowing reader catch hisher breath almost cat mouse game played scarpetta gault copied cornwell reader found reading one chapter could figure cornwell keeping answer page reach oh sure shed dangle carrot tease little morsel keep going kept chasing answer endif want book help relax go bed book leave feeling wonderful world pick book poetry definitely book dont mind losing sleep want catapulted journey unforgettable pick copy potter field today story definition thriller definitely stop light book opinion would like know mean stop light book please see review ugly duckling iris johansen
5.0,A greater than your average book and an adventure about the person who reads this book. A thrilling book to read,greater average book adventure person read book thrilling book read
5.0,I read this entire book from front to back in 1 day. IT WAS GREAT. Full of useful information and makes you feel that you can do this wether your the initiator or not,read entire book front back day great full useful information make feel wether initiator
5.0,"First, let me say that I have read Dharma Bums several times and, of course, found something new and wonderful in each reading. It is, quite simply, a classic American novel, and I feel that the previous two reviews (five stars, naturally) sum up the book's contents, its spiritual impulse, and finally, its dramatic impact on American letters better than I could here.What I would like to add, then, is that THIS SPECIFIC EDITION (the Penguin Classics Deluxe) is, by far and away, the best out there. In my mind, it is a collector's item, a kind of retro masterwork, and featuring the outstanding if not enigmatic illustrations by the artist known simply as Jason. To be sure: the drawing of Jack Kerouac and Gary Snyder (Japhy Ryder) sitting by the fire high in the mountains, immersed in the moment, is simply a gem.Finally, if you find this book to your liking, I think you should march right out (metaphorically speaking, I guess, since we are all on-line) and purchase John Suiter's stunning Poets on the Peaks, which is a large, well-designed photo and bio work about Snyder, Kerouac, Philip Whalen and their time spent as fire look outs on Desolation Peak - trust me, the photos in this coffee table book are utterly fascinating.",first let say read dharma bum several time course found something new wonderful reading quite simply classic american novel feel previous two review five star naturally sum book content spiritual impulse finally dramatic impact american letter better could herewhat would like add specific edition penguin classic deluxe far away best mind collector item kind retro masterwork featuring outstanding enigmatic illustration artist known simply jason sure drawing jack kerouac gary snyder japhy ryder sitting fire high mountain immersed moment simply gemfinally find book liking think march right metaphorically speaking guess since online purchase john suiters stunning poet peak large welldesigned photo bio work snyder kerouac philip whalen time spent fire look out desolation peak trust photo coffee table book utterly fascinating
3.0,"I must admit, I didn't expect to enjoy this book as much as I did. As the story progressed so did the intrigue. The action of the book far outweighted the underlining premise; issues surronding Black women and their hair.Don't be mislead. The book is not about the hair issues as much as it is a woman dealing with a relationship while the changes she goes through with her hair are a subplot at best. What's interesting about the hair issue is that most Black women can identify with at least one aspect that Venus has delt with; either as an adult or young girl growing up. Also the backdrop of this nove is DC where there's at least 5 women to every 1 man....an even greater reason why hairstyle would reasonably be a &quot;big deal&quot;.What I liked most about the book though, was the action surronding her relationships. With Clint, her boyfriend as well as other men introduced to us in the book. In the end, it's not all about the hair.With Halle Barry taking on this project to play Venus in the movie version of Nappily Ever After, I plan to re-read it again around the time the movie opens. Just as I did for Waiting to Exhale and Disappearing Acts. They always say that the book is usually better than the movie. With Halle playing Venus, this one will probably be a close call....let's see.",must admit didnt expect enjoy book much story progressed intrigue action book far outweighted underlining premise issue surronding black woman hairdont mislead book hair issue much woman dealing relationship change go hair subplot best whats interesting hair issue black woman identify least one aspect venus delt either adult young girl growing also backdrop nove dc there least woman every manan even greater reason hairstyle would reasonably quotbig dealquotwhat liked book though action surronding relationship clint boyfriend well men introduced u book end hairwith halle barry taking project play venus movie version nappily ever plan reread around time movie open waiting exhale disappearing act always say book usually better movie halle playing venus one probably close calllets see
4.0,"This book is a fabulous depiction of the Italian nun, Benedetta Carlini, whose drive for ambition in the Catholic church drove her to get the help of her lesbian lover to create the illusion of stigmata. Through this, she moves to new heights of power and respect in the church and brings money and fortune to the church...but upon accusations and scrutiny, she's brought down to pay for her ambition. The story is a tenderly told one. It has feminist elements and deals with the desperate desire of spoils, along with a not-so-pretty picture of the Church.",book fabulous depiction italian nun benedetta carlini whose drive ambition catholic church drove get help lesbian lover create illusion stigma move new height power respect church brings money fortune churchbut upon accusation scrutiny shes brought pay ambition story tenderly told one feminist element deal desperate desire spoil along notsopretty picture church
2.0,"This book doesn't even come close to the quality I have come to expect from Maeve Binchy. The story lines never come together. Basically, the entire book is a set of character sketches. Yes, it kept my attention and I did finish the book, but by the time I was finished, I regretted spending the time on it and fussed at my mother who told me in advance that this was not one of her favorites. (She should have been a bit more forthcoming!) I would not recommend this book; on the contrary, I would discourage someone from investing any time on this book. There are many, many better books out there, including all others by still-a-favorite Maeve Binchy.",book doesnt even come close quality come expect maeve binchy story line never come together basically entire book set character sketch yes kept attention finish book time finished regretted spending time fussed mother told advance one favorite bit forthcoming would recommend book contrary would discourage someone investing time book many many better book including others stillafavorite maeve binchy
5.0,"This is Such a great book! I have a sourdough starter from a friend and this book shows you how to care for it along with wonderful recipes. There are so many great stories that even without the recipes it would be a great book. I love the muffins, they don't taste like sourdough at all! I will say that if you don't know how to bake bread you should get another book along with it. I would recommend ""Beard on Bread."" Don't trust him for sourdough, he dose not like it. His recipe for sourdough calls for milk with Ruth Allman says causes spoilage.",great book sourdough starter friend book show care along wonderful recipe many great story even without recipe would great book love muffin dont taste like sourdough say dont know bake bread get another book along would recommend beard bread dont trust sourdough dose like recipe sourdough call milk ruth allman say cause spoilage
5.0,"I am now 20-years old, and over the weekend I enjoyed a bonfire with family. Everyone wanted to hear a scary story, but no one could remember any good ones. I immediately thought of this book, and regret not still having it.Moms, dads, kids, librarians! THIS IS THE BEST BOOK for anyone who likes an ORIGINAL, old-fashioned scary story to tell in the dark!When I was around ten-years old, every single time I went to the library I would look for Schwartz's name in the card catlaog.Please, please delight your kid(s) with the best scary stories ever!!Seeing the illustrations alone could creep anyone out.I know it sounds like I'm really trying to sell this book, but TRUST ME, I'm not related to or friends with anyone that makes money off this book. I just want kids everywhere to have the same fond and freaky memories!",year old weekend enjoyed bonfire family everyone wanted hear scary story one could remember good one immediately thought book regret still itmoms dad kid librarian best book anyone like original oldfashioned scary story tell darkwhen around tenyears old every single time went library would look schwartzs name card catlaogplease please delight kid best scary story everseeing illustration alone could creep anyone outi know sound like im really trying sell book trust im related friend anyone make money book want kid everywhere fond freaky memory
5.0,"This is a wonderful book that will keep you guessing. It is Rare to find a book that will make you laugh and cry at the same time and still leave you wondering what will happen next. What was even more amazing about it, is the fact that it is written in such a poetic way. This is a rare find and I look forward to the next book written by Veronica Haddon.",wonderful book keep guessing rare find book make laugh cry time still leave wondering happen next even amazing fact written poetic way rare find look forward next book written veronica haddon
5.0,"L J really outdid herself this time, this was undoubtedly one of the best books she has ever written. if you dont have this book, or don't like it, there is something serouisly wrong with your head, and you need to go see a doctor ASAP!!! I love the part where Ash and Beth are walking in the woods. What they both say and do are and is soooooo roamanitic. I always wish that the night world were real!! I wish I could have a vampire soulmate, the idea of becoming a vampire is really cool, i would love to become one. I don't know whats wrong with Beath!! You can tell Ash loves her from almost the begining.. the first time I read the book, i didnt get one part, but as u can see, i'm not dissing the book for it... the part where ash says &quot;Look...I might as well tell you. I didn't ask for this, and if somebody had said last week that I'd be in...involved... with a human, I'd have knocked his head off. I mean, after howels of derisive laughter. But.&quot; I doidn't catch what he was origenally goning to say... I'd be in LOVE, but he paused and changed the word love to involved. so while she sat there hating him, he loved her!! How blind can a girl get!! theres a fine guy there trippin over her, and she kickes him in the shin!!! twice!oh well. what I really want it a sequel though. I am just dien wonderin what happens. the lasy part where he said goodbye was soo good. If L J ever stops writing I am going to be sooooooo sad. but in conclusion, this was one of her best books. And hey, if u know any of her fan club addresses, e-mail me. I only just discovered the wonder that is LJ Smith. I only have 4 of her books, but am ordering the rest soon. THANK Y O U ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",l j really outdid time undoubtedly one best book ever written dont book dont like something serouisly wrong head need go see doctor asap love part ash beth walking wood say soooooo roamanitic always wish night world real wish could vampire soulmate idea becoming vampire really cool would love become one dont know whats wrong beath tell ash love almost begining first time read book didnt get one part u see im dissing book part ash say quotlooki might well tell didnt ask somebody said last week id ininvolved human id knocked head mean howels derisive laughter butquot doidnt catch origenally goning say id love paused changed word love involved sat hating loved blind girl get there fine guy trippin kickes shin twiceoh well really want sequel though dien wonderin happens lasy part said goodbye soo good l j ever stop writing going sooooooo sad conclusion one best book hey u know fan club address email discovered wonder lj smith book ordering rest soon thank u
5.0,"This book has flaws, yes, as some of the earlier reviewers have pointed out, but they are seriously missing the point if they give the book fewer than 2 stars. Asimov was a man of great ideas and scientific knowledge, but I do not believe that he ever took a creative writing class. He was writing back in the days when a writer wrote, rather than talked about writing. So, OK, some of the characters talk as though they are in a cowboy movie. So, OK, some of the dialogic phrasings are awkward or stilted. So, OK, there is only one teeny tiny female character (as a black man myself, I might aslo point out that we of the African Diaspora are noticeably absent from the futuristic roll call). The whole idea of psychohistory is so engaging that you sit there for hours pondering it and thinking, and he was so young when he wrote this. So young. This is a great book, a true classic.",book flaw yes earlier reviewer pointed seriously missing point give book fewer star asimov man great idea scientific knowledge believe ever took creative writing class writing back day writer wrote rather talked writing ok character talk though cowboy movie ok dialogic phrasing awkward stilted ok one teeny tiny female character black man might aslo point african diaspora noticeably absent futuristic roll call whole idea psychohistory engaging sit hour pondering thinking young wrote young great book true classic
1.0,"We had to read it for our GCSE coursework. Everybody found it boring and too descriptive. If you have a choice, do not choose this book! To make it worse, it is incredibly long and depressing. DO NOT EVEN TOUCH IT!!!",read gcse coursework everybody found boring descriptive choice choose book make worse incredibly long depressing even touch
2.0,"This is a wonderful Victorian-style novel about a manor house, its mistress, and her domestics. Wonderful that is, until the middle of the story. The author makes choices that effectively shut down the flow and pacing of the story. It's spooky and interesting, but the sudden turn and the unexpected switch in the narrator's point of view, time, and setting make the rest of a great read a downer.",wonderful victorianstyle novel manor house mistress domestic wonderful middle story author make choice effectively shut flow pacing story spooky interesting sudden turn unexpected switch narrator point view time setting make rest great read downer
4.0,"I have a hard time trying to get into the time frame of this, and other Hardy books. In the context, Tess seems to be the victim of an unreasonable expectation of purity, but it is her own actions and evasions that lead inevitably to catastrophe.Damn, Girl, whatever happened to the weekend hookup, and club sex???Only say &#34; yeah, I did him, get out or get over it.&#34; and all the troubles go away.Love her nonetheless.",hard time trying get time frame hardy book context tess seems victim unreasonable expectation purity action evasion lead inevitably catastrophedamn girl whatever happened weekend hookup club sexonly say yeah get get trouble go awaylove nonetheless
4.0,"The plot was okay, the characters were great, and the conclusion interesting. But it was not as good as other Night World Books. But still worth getting.",plot okay character great conclusion interesting good night world book still worth getting
2.0,"To read this book you need to be fully awake and have full concentration. This is not the type of book to bring to the beach. Though Richard Hofstadter makes a convincing case of what colonial times were like and he obviously was a scholar, he writes very monotonously. if not thouroughly interested in american history at 1750 i would not recommend this book. otherwise, if you are a history-fanatic, this book gives a wide range of perspectives and fully covers the history of the time.",read book need fully awake full concentration type book bring beach though richard hofstadter make convincing case colonial time like obviously scholar writes monotonously thouroughly interested american history would recommend book otherwise historyfanatic book give wide range perspective fully cover history time
5.0,"If you teach Introduction to Philosophy using a historical approach, this is the text I recommend. I used &quot;The Philosophic Classics 2nd edition, From Plato to Nietzsche&quot; for my classes and was looking for a text with the same basic works with some more contemporary materials. I find the updated 3rd edition, &quot;From Plato to Derrida&quot; the perfect solution. Instead of having to look through more textbooks for the right stuff, this is it.",teach introduction philosophy using historical approach text recommend used quotthe philosophic classic nd edition plato nietzschequot class looking text basic work contemporary material find updated rd edition quotfrom plato derridaquot perfect solution instead look textbook right stuff
4.0,It is perfect for my hyper toddler boy. He loves to spy items especially cars. I'll get more I spy books.,perfect hyper toddler boy love spy item especially car ill get spy book
5.0,"I've used this book twice to explain death to my 5 year old son, once for a pet and second for a family member. This book is very well written and easy for a child to understand. It was recommended by my childs teacher.",ive used book twice explain death year old son pet second family member book well written easy child understand recommended child teacher
5.0,"I have not readf the Foundation series in years. However, the other day I was thinking about how much fun the trilogy had been. One has to remember that most of the scifi you read today has at least some of its roots based in Asimov's work, Asimov was not the best writer, nor was he the most creative. What he did accomplish was selling you another time and world that you could believe in. So, taking it for what it is, not a great piece of literature but a really enjoyable trip, i need to give the trilogy 5 stars.",readf foundation series year however day thinking much fun trilogy one remember scifi read today least root based asimov work asimov best writer creative accomplish selling another time world could believe taking great piece literature really enjoyable trip need give trilogy star
4.0,"I loved this book as a preteen and I loved it, and the sequel &quot;Life with Mother&quot; too. Mr. Day paints an accurate picture of life in the early 1900's for a middle class family. Yes, his father is rude and a bit obnoxious, but watching him is very funny. He loved his wife and family and while he blustered and yelled, they loved him. I enjoyed this book and thought it was great.",loved book preteen loved sequel quotlife motherquot mr day paint accurate picture life early middle class family yes father rude bit obnoxious watching funny loved wife family blustered yelled loved enjoyed book thought great
4.0,"In these trying times, when our investments seem to be vanishing before our eyes, along comes Steven Selengut with his down-to-earth reader-friendly handbook on how we got the wool pulled over our eyes as get-rich-quick gamblers, & better yet, how to unravel that mess & become wise enduring investors.Money management won't be nearly so confusing to the everyday investor after we finished THE BRAINWASHING OF THE AMERICAN INVESTOR. It is a thorough study of the investment world, how to not be abused by it, & how to use it to our advantage",trying time investment seem vanishing eye along come steven selengut downtoearth readerfriendly handbook got wool pulled eye getrichquick gambler better yet unravel mess become wise enduring investorsmoney management wont nearly confusing everyday investor finished brainwashing american investor thorough study investment world abused use advantage
4.0,"This book well worth a read.Agatha Christie at her best.I loved the involvement of the dog and the sly humour pertaing to the characters.The murder outcome unexpected and characters absorbing and varied.This book full of colour,interest and valid characters.A really good read.",book well worth readagatha christie besti loved involvement dog sly humour pertaing charactersthe murder outcome unexpected character absorbing variedthis book full colourinterest valid charactersa really good read
3.0,"This book, to me, starts out a little slow, in that the author focuses solely on THE mothman and peoples' accounts with him (what he looked like, did, etc.). For about the first 100 pages the author pretty much lists interviews and 1st hand accounts with contactees and their experiences. Though, after the 100th page or so (I don't know what it is about the 100th page for me), the book gets really interesting. Things start happening personally to John Keel himself. It seems as though, the more he begins to find out, and the deeper he goes into things, the more things begin to get in his way and stop him. It becomes apparent that someone or something doesn't want him to know what he knows.. Yet he persists. A very good book which lives up to its name.",book start little slow author focus solely mothman people account looked like etc first page author pretty much list interview st hand account contactees experience though th page dont know th page book get really interesting thing start happening personally john keel seems though begin find deeper go thing thing begin get way stop becomes apparent someone something doesnt want know know yet persists good book life name
4.0,"This book give a brief story about Koichi Tohei Sensei, who developed and bring his knowledge about KI to our world.Within this book you will find summaries in practical KI for our daily life.The most impressive thing is the fact that relax and calmness is the key to a great strength.",book give brief story koichi tohei sensei developed bring knowledge ki worldwithin book find summary practical ki daily lifethe impressive thing fact relax calmness key great strength
5.0,"While I don't find all of the beliefs and practices of Janet and Stewart Farrar to be compatible personally, I must admit they have a huge amount of terrific information and research to offer. This book is no exception! While it may not be *quite* as thorough as &quot;The Witches' Goddess&quot;, this book is a must-have! I highly recommend it.",dont find belief practice janet stewart farrar compatible personally must admit huge amount terrific information research offer book exception may quite thorough quotthe witch goddessquot book musthave highly recommend
5.0,"I loved this book, the structure of it, the characterization, etc, etc! It contains so much symbols, conflicts and all kinds of literary terms you can think of that it's the best book for the introduction to serious literature. It's the foundation to other American novels as Hawthorne paves the way of how a book should be written- with passion and interest.I just find Arthur Dimmesdale so fascinating while some people might disagree with me. It is his mind that intrigued me to evaluate him and as my subject for my paper.This is definitely an American masterpiece by Nathaniel Hawthorne. I wish that this classic book would be more highly appreciated. Just don't see the movie! Appreciate the beauty of Hawthorne's writing style.",loved book structure characterization etc etc contains much symbol conflict kind literary term think best book introduction serious literature foundation american novel hawthorne pave way book written passion interesti find arthur dimmesdale fascinating people might disagree mind intrigued evaluate subject paperthis definitely american masterpiece nathaniel hawthorne wish classic book would highly appreciated dont see movie appreciate beauty hawthorne writing style
5.0,"There is a reason why the Scalet Letter has the station of a classic in todays society, and it is because the book encompases a grand depth that is severly lacking in so many books in our contempoary society. It is not a book for an imature audience, as its themes run multi-layered and can be misunderstood by the ignorant mind. But let not that ignorance, caused, most likely, by the simple-mindedness of the mediums we are today exposed to for entertainment, tarnish the image of this sacred epic. Um, its a really good book.",reason scalet letter station classic today society book encompases grand depth severly lacking many book contempoary society book imature audience theme run multilayered misunderstood ignorant mind let ignorance caused likely simplemindedness medium today exposed entertainment tarnish image sacred epic um really good book
3.0,"one for the projects and one for the art. my rating for the projects would be a TWO. While it has some good ideas for making art in your journal, it is called &quot;Making journals by hand&quot; and the instructions for making journals are terrible. things like, &quot;get a stack of paper and take it to kinkos to have it bound.&quot; NOT how to do it yourself. This book will NOT help you learn to make books. It also has a lot of terms that it never defines, and if you're not an experienced book maker, you won't know what they mean.On the other hand, I would give a rating of FIVE stars for the art and inspiration. the pictures and journals are absolutely gorgeous. They're too small, though, and you want to see everything closer.But, since this book is called &quot;making journals by hand&quot;... it is NOT helpful for that, and so I give it three stars.",one project one art rating project would two good idea making art journal called quotmaking journal handquot instruction making journal terrible thing like quotget stack paper take kinkos boundquot book help learn make book also lot term never defines youre experienced book maker wont know meanon hand would give rating five star art inspiration picture journal absolutely gorgeous theyre small though want see everything closerbut since book called quotmaking journal handquot helpful give three star
5.0,"After reading this book, I couldn't stop shaking my head. I kept thinking to myself...why didn't I have this book years ago?? At first, I thought that there wasn't anything this book could teach me...I'm already an actor. Boy, was I wrong. If only someone had written this years ago, I could saved myself a lot of wasted auditions.",reading book couldnt stop shaking head kept thinking myselfwhy didnt book year ago first thought wasnt anything book could teach meim already actor boy wrong someone written year ago could saved lot wasted audition
5.0,"Hazlitt delivers to the reader the most incredibly profound, and simultaneously most incredibly simple economical lesson yet penned by man. Moreover, he does so in a manner which provides both relevant and easily understandable examples to the lay, while still providing the depth and principle sufficient to intrigue and inform even the most well versed economically among us.Whether your life's experience in economics amounts to balancing your checkbook, or graduate level studies, if you haven't yet read Hazlitt's short text, you owe it to yourself.And once you have read it, I implore you to share it. If ever you should come across anyone in your path with the slightest interest in economics, even be they in slight argument towards the collective, lend them your copy and follow up with discussion after they return it. The more people in this world who read and understand the lesson taught by this text, the better our chance at progressing to true freedom.",hazlitt delivers reader incredibly profound simultaneously incredibly simple economical lesson yet penned man moreover manner provides relevant easily understandable example lay still providing depth principle sufficient intrigue inform even well versed economically among uswhether life experience economics amount balancing checkbook graduate level study havent yet read hazlitt short text owe yourselfand read implore share ever come across anyone path slightest interest economics even slight argument towards collective lend copy follow discussion return people world read understand lesson taught text better chance progressing true freedom
5.0,"This is the first Kerouac book i ever read. I've read it twice, once when i was 17, and once when i was 19. It's a beautifully poetic look at Jack's life (he calls himself Ray Smith in this one) while he was riding the rails, hitching, hiking and camping across the southern United States and Mexico. This book, along with On the Road, is one of Kerouac's more fantastical works. Though he always tends to focus on both the good and the bad of his journeys, Dharma Bums does carry an underlying current that Jack was able to achieve some kind of Zen Buddhist enlightenment at this time in his life. In that sense, there is less bad to dwell on, and life seems to work itself out more than it does in some of his more real, raw books. A great Kerouac read, and a great introduction to his style.",first kerouac book ever read ive read twice beautifully poetic look jack life call ray smith one riding rail hitching hiking camping across southern united state mexico book along road one kerouac fantastical work though always tends focus good bad journey dharma bum carry underlying current jack able achieve kind zen buddhist enlightenment time life sense less bad dwell life seems work real raw book great kerouac read great introduction style
5.0,"I found this book very realistic. As someone who suffers from mild mental illness, it made alot of situations real to me. I enjoy the NYC mentions as I have recently visited New York. I could visualize the book well.",found book realistic someone suffers mild mental illness made alot situation real enjoy nyc mention recently visited new york could visualize book well
